vehicle_id,dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
1,I,NEW,0,73190,2024,Lexus,RX-Series,0,A,Hybrid,0
2,I,NEW,0,73390,2024,Lexus,RX-Series,0,A,Hybrid,0
3,I,NEW,0,73390,2024,Lexus,RX-Series,0,A,Hybrid,0
4,I,NEW,0,73390,2024,Lexus,RX-Series,0,A,Hybrid,0
5,I,NEW,0,76546,2024,Lexus,RX-Series,0,A,Hybrid,2
6,I,NEW,0,76636,2024,Lexus,RX-Series,0,A,Hybrid,3
7,I,NEW,0,76636,2024,Lexus,RX-Series,0,A,Hybrid,3
8,I,NEW,0,76690,2024,Lexus,RX-Series,0,A,Hybrid,1
9,I,NEW,0,76690,2024,Lexus,RX-Series,0,A,Hybrid,0
10,I,NEW,0,81138,2024,Lexus,RX-Series,0,A,Hybrid,0
11,I,NEW,0,82111,2024,Lexus,RX-Series,0,A,Hybrid,0
12,I,NEW,0,95321,2024,Lexus,RX-Series,0,A,PHEV,0
13,I,NEW,0,95321,2024,Lexus,RX-Series,0,A,PHEV,0
14,I,NEW,0,85286,2024,Lexus,RX-Series,0,A,Hybrid,2
15,I,NEW,0,90588,2024,Lexus,RX-Series,0,A,Hybrid,0
16,I,NEW,0,90640,2024,Lexus,RX-Series,0,A,Hybrid,0
17,I,NEW,0,90640,2024,Lexus,RX-Series,0,A,Hybrid,1
18,I,NEW,0,91086,2024,Lexus,RX-Series,0,A,Hybrid,0
19,I,NEW,0,91236,2024,Lexus,RX-Series,0,A,Hybrid,0
20,I,NEW,0,90586,2024,Lexus,RX-Series,0,A,Hybrid,0
21,I,NEW,0,90586,2024,Lexus,RX-Series,0,A,Hybrid,0
22,I,NEW,0,91140,2024,Lexus,RX-Series,0,A,Hybrid,0
23,F,USED,9862,72200,2024,Lexus,RX-Series,0,A,Gas,1
24,F,USED,1900,78888,2024,Lexus,RX-Series,0,A,Gas,1
25,F,USED,1900,78888,2024,Lexus,RX-Series,0,A,Gas,1
26,F,NEW,90,68276,2024,Lexus,RX-Series,0,A,Gas,0
27,F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Gas,0
28,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,8
29,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,8
30,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
31,F,NEW,90,79176,2024,Lexus,RX-Series,0,A,Gas,4
32,F,NEW,90,79176,2024,Lexus,RX-Series,0,A,Gas,4
33,F,NEW,90,79176,2024,Lexus,RX-Series,0,A,Gas,6
34,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
35,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
36,F,NEW,90,65780,2024,Lexus,RX-Series,0,A,Gas,5
37,F,NEW,90,66280,2024,Lexus,RX-Series,0,A,Gas,2
38,F,NEW,90,66280,2024,Lexus,RX-Series,0,A,Gas,1
39,F,NEW,90,68280,2024,Lexus,RX-Series,0,A,Gas,0
40,F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Gas,0
41,F,NEW,90,73676,2024,Lexus,RX-Series,0,A,Gas,6
42,F,NEW,90,78155,2024,Lexus,RX-Series,0,A,Gas,0
43,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
44,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
45,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
46,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
47,F,NEW,90,65780,2024,Lexus,RX-Series,0,A,Gas,11
48,F,NEW,1177,67776,2024,Lexus,RX-Series,0,A,Gas,4
49,F,NEW,2186,71825,2024,Lexus,RX-Series,0,A,Gas,7
50,F,NEW,90,73176,2024,Lexus,RX-Series,0,A,Gas,6
51,F,NEW,90,73680,2024,Lexus,RX-Series,0,A,Gas,0
52,F,NEW,90,73680,2024,Lexus,RX-Series,0,A,Gas,0
53,F,NEW,90,73680,2024,Lexus,RX-Series,0,A,Gas,0
54,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,6
55,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
56,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
57,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
58,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,0
59,F,NEW,90,79369,2024,Lexus,RX-Series,0,A,Gas,4
60,F,NEW,90,67275,2024,Lexus,RX-Series,0,A,Gas,2
61,F,NEW,90,68276,2024,Lexus,RX-Series,0,A,Gas,6
62,F,NEW,90,69220,2024,Lexus,RX-Series,0,A,Gas,1
63,F,NEW,90,69220,2024,Lexus,RX-Series,0,A,Gas,2
64,F,NEW,90,73680,2024,Lexus,RX-Series,0,A,Gas,0
65,F,NEW,90,73680,2024,Lexus,RX-Series,0,A,Gas,1
66,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,0
67,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,8
68,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
69,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
70,F,NEW,90,79180,2024,Lexus,RX-Series,0,A,Gas,1
71,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
72,F,NEW,90,68276,2024,Lexus,RX-Series,0,A,Gas,0
73,F,NEW,90,68280,2024,Lexus,RX-Series,0,A,Gas,0
74,F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,0
75,F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,6
76,F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,6
77,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
78,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
79,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,1
80,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
81,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
82,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
83,F,NEW,90,74176,2024,Lexus,RX-Series,0,A,Gas,6
84,F,NEW,90,74176,2024,Lexus,RX-Series,0,A,Gas,8
85,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,4
86,F,NEW,90,79176,2024,Lexus,RX-Series,0,A,Gas,0
87,F,NEW,90,84413,2024,Lexus,RX-Series,0,A,Gas,4
88,F,NEW,90,746762,2024,Lexus,RX-Series,0,A,Gas,7
89,F,NEW,90,63180,2024,Lexus,RX-Series,0,A,Gas,0
90,F,NEW,90,63180,2024,Lexus,RX-Series,0,A,Gas,0
91,F,NEW,90,63180,2024,Lexus,RX-Series,0,A,Gas,0
92,F,USED,11949,63488,2024,Lexus,RX-Series,1,A,Gas,2
93,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
94,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
95,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
96,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
97,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,3
98,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
99,F,NEW,90,63680,2024,Lexus,RX-Series,0,A,Gas,0
100,F,NEW,90,64675,2024,Lexus,RX-Series,0,A,Gas,1
101,F,NEW,90,78676,2024,Lexus,RX-Series,0,A,Gas,8
102,F,NEW,90,78680,2024,Lexus,RX-Series,0,A,Gas,0
103,F,NEW,90,70676,2024,Lexus,RX-Series,0,A,Gas,2
104,F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,6
105,F,NEW,90,71176,2024,Lexus,RX-Series,0,A,Gas,6
106,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
107,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
108,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
109,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
110,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
111,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
112,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
113,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
114,F,NEW,90,71180,2024,Lexus,RX-Series,0,A,Gas,0
115,F,NEW,90,74180,2024,Lexus,RX-Series,0,A,Gas,0
116,F,NEW,90,74676,2024,Lexus,RX-Series,0,A,Gas,6
117,F,NEW,90,74676,2024,Lexus,RX-Series,0,A,Gas,8
118,F,NEW,90,74676,2024,Lexus,RX-Series,0,A,Gas,8
119,F,NEW,90,74830,2024,Lexus,RX-Series,0,A,Gas,0
120,F,NEW,90,80680,2024,Lexus,RX-Series,0,A,Hybrid,0
121,F,NEW,90,81180,2024,Lexus,RX-Series,0,A,Hybrid,0
122,F,USED,5620,71388,2024,Lexus,RX-Series,0,A,Hybrid,3
123,F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
124,F,NEW,90,73180,2024,Lexus,RX-Series,0,A,Hybrid,0
125,F,NEW,90,76680,2024,Lexus,RX-Series,0,A,Hybrid,0
126,F,NEW,90,76830,2024,Lexus,RX-Series,0,A,Hybrid,0
127,F,NEW,90,80680,2024,Lexus,RX-Series,0,A,Hybrid,0
128,F,NEW,90,81330,2024,Lexus,RX-Series,0,A,Hybrid,0
129,F,NEW,90,65180,2024,Lexus,RX-Series,0,A,Hybrid,0
130,F,NEW,90,65680,2024,Lexus,RX-Series,0,A,Hybrid,0
131,F,NEW,90,76120,2024,Lexus,RX-Series,0,A,Hybrid,5
132,F,NEW,90,76680,2024,Lexus,RX-Series,0,A,Hybrid,0
